Address,Postcode,Floor Area
"29 Avalon Road, Earley",RG6 7NS,1302
"4, Avalon Road, Earley",RG6 7NS,1453
"6, Avalon Road, Earley",RG6 7NS,1141
"23, Avalon Road, Earley",RG6 7NS,1206
"25, Avalon Road, Earley",RG6 7NS,1109
"26, Avalon Road, Earley",RG6 7NS,1033
"9, Avalon Road, Earley",RG6 7NS,1206
"17, Avalon Road, Earley",RG6 7NS,1195
"14, Avalon Road, Earley",RG6 7NS,1442
"2, Avalon Road, Earley",RG6 7NS,986
"25 Sevenoaks Road, Earley",RG6 7NT,1173
"3 Sevenoaks Road, Earley",RG6 7NT,1281
"40 Sevenoaks Road, Earley",RG6 7NT,1453
"41 SEVENOAKS ROAD, EARLEY",RG6 7NT,980
"19, Sevenoaks Road, Earley",RG6 7NT,1119
"36, Sevenoaks Road, Earley",RG6 7NT,1130
"24, Sevenoaks Road, Earley",RG6 7NT,1087
"15, Sevenoaks Road, Earley",RG6 7NT,1087
"17, Sevenoaks Road, Earley",RG6 7NT,1109
"11, Sevenoaks Road, Earley",RG6 7NT,1130
"9, Sevenoaks Road, Earley",RG6 7NT,893
"22, Sevenoaks Road, Earley",RG6 7NT,1335
"35, Sevenoaks Road, Earley",RG6 7NT,936
"28, Sevenoaks Road, Earley",RG6 7NT,915
"32, Sevenoaks Road, Earley",RG6 7NT,1421
"24, Sevenoaks Road, Earley",RG6 7NT,1066
"1, Sevenoaks Road, Earley",RG6 7NT,1195
"15, Sevenoaks Road, Earley",RG6 7NT,1098
"21, Sevenoaks Road, Earley",RG6 7NT,915
"43, Sevenoaks Road, Earley",RG6 7NT,1001
"25, Sevenoaks Road, Earley",RG6 7NT,915
"20, Sevenoaks Road, Earley",RG6 7NT,999
"280 Silverdale Road, Earley",RG6 7NU,1163
"276, Silverdale Road, Earley",RG6 7NU,915
"292, Silverdale Road, Earley",RG6 7NU,958
"288, Silverdale Road, Earley",RG6 7NU,2013
"268, Silverdale Road, Earley",RG6 7NU,1668
"282, Silverdale Road, Earley",RG6 7NU,1270
"282, Silverdale Road, Earley",RG6 7NU,1206
"278, Silverdale Road, Earley",RG6 7NU,915
"282, Silverdale Road, Earley",RG6 7NU,1012
"288, Silverdale Road, Earley",RG6 7NU,1152
"264, Silverdale Road, Earley",RG6 7NU,958
"268, Silverdale Road, Earley",RG6 7NU,1292
"33 The Crescent, Earley",RG6 7NW,1550
"31 The Crescent, Earley",RG6 7NW,1432
"31 The Crescent, Earley",RG6 7NW,1432
"47 THE CRESCENT, WOKINGHAM, READING",RG6 7NW,721
"5, The Crescent, Earley",RG6 7NW,1787
"13, The Crescent, Earley",RG6 7NW,1496
"49, The Crescent, Earley",RG6 7NW,1109
"5, The Crescent, Earley",RG6 7NW,850
"5, The Crescent, Earley",RG6 7NW,786
"57, The Crescent, Earley",RG6 7NW,1098
"35, The Crescent, Earley",RG6 7NW,1098
"31, The Crescent, Earley",RG6 7NW,753
"21, The Crescent, Earley",RG6 7NW,1636
"45, The Crescent, Earley",RG6 7NW,635
"45, The Crescent, Earley",RG6 7NW,915
"9, The Crescent, Earley",RG6 7NW,926
"69 The Crescent, Earley",RG6 7NW,1238
"1, The Crescent, Earley",RG6 7NW,1981
"71, The Crescent, Earley",RG6 7NW,1119
"65, The Crescent, Earley",RG6 7NW,1001
"63, The Crescent, Earley",RG6 7NW,923
"59, The Crescent, Earley",RG6 7NW,616
"35, The Crescent, Earley",RG6 7NW,686
"203 Silverdale Road, Earley",RG6 7NY,1345
"197 Silverdale Road, Earley",RG6 7NY,893
"199 Silverdale Road, Earley",RG6 7NY,915
"199, Silverdale Road, Earley",RG6 7NY,947
"193, Silverdale Road, Earley",RG6 7NY,1356
"209, Silverdale Road, Earley",RG6 7NY,893
"195, Silverdale Road, Earley",RG6 7NY,1206
"197, Silverdale Road, Earley",RG6 7NY,980
"207, Silverdale Road, Earley",RG6 7NY,1033
"191, Silverdale Road, Earley",RG6 7NY,915
"205, Silverdale Road, Earley",RG6 7NY,1087
"199, Silverdale Road, Earley",RG6 7NY,1020
"11 The Parade, Silverdale Road, Earley",RG6 7NZ,743
"8 The Parade, Silverdale Road, Earley",RG6 7NZ,807
"19 The Parade, Silverdale Road",RG6 7NZ,818
"9, The Parade, Silverdale Road",RG6 7NZ,797
"12a The Parade, Silverdale Road, Earley",RG6 7NZ,861
"8, The Parade, Silverdale Road",RG6 7NZ,808
"7, The Parade, Silverdale Road",RG6 7NZ,722
"1 Lancaster Gardens, Earley",RG6 7PA,1227
"6, Lancaster Gardens, Earley",RG6 7PA,1216
"18, Lancaster Gardens, Earley",RG6 7PA,1012
"9, Lancaster Gardens, Earley",RG6 7PA,1615
"14, Lancaster Gardens, Earley",RG6 7PA,1173
"14, Lancaster Gardens, Earley",RG6 7PA,1066
"21, Lancaster Gardens, Earley",RG6 7PA,1152
"23, Lancaster Gardens, Earley",RG6 7PA,893
"15, Lancaster Gardens, Earley",RG6 7PA,1485
"8, Allendale Road, Earley",RG6 7PB,904
"34, Allendale Road, Earley",RG6 7PB,990
"36, Allendale Road, Earley",RG6 7PB,904
"18, Allendale Road, Earley",RG6 7PB,1012
"44, Allendale Road, Earley",RG6 7PB,1001
"28, Allendale Road, Earley",RG6 7PB,1033
"30, Allendale Road, Earley",RG6 7PB,915
"16, Allendale Road, Earley",RG6 7PB,1055
"12, Allendale Road, Earley",RG6 7PB,1240
"46, Allendale Road, Earley",RG6 7PB,886
"1 ALLENDALE ROAD, EARLEY",RG6 7PD,893
"13, Allendale Road, Earley",RG6 7PD,1722
"9, Allendale Road, Earley",RG6 7PD,1119
"15, Allendale Road, Earley",RG6 7PD,947
"37, Allendale Road, Earley",RG6 7PD,1163
"27, Allendale Road, Earley",RG6 7PD,1152
"27, Allendale Road, Earley",RG6 7PD,1225
"25, Allendale Road, Earley",RG6 7PD,865
"11, Allendale Road, Earley",RG6 7PD,1031
"38 Crawford Close, Earley",RG6 7PE,1755
"38 Crawford Close, Earley",RG6 7PE,1690
"26 CRAWFORD CLOSE, EARLEY",RG6 7PE,1001
"25, Crawford Close, Earley",RG6 7PE,1367
"33, Crawford Close, Earley",RG6 7PE,1701
"3, Crawford Close, Earley",RG6 7PE,1195
"5, Crawford Close, Earley",RG6 7PE,883
"21, Crawford Close, Earley",RG6 7PE,1098
"8, Crawford Close, Earley",RG6 7PE,1119
"6, Crawford Close, Earley",RG6 7PE,904
"36, Crawford Close, Earley",RG6 7PE,1356
"38, Crawford Close, Earley",RG6 7PE,1087
"24, Crawford Close, Earley",RG6 7PE,1044
