Address,Postcode,Floor Area,House Number,Street Name
"29 Avalon Road, Earley",RG6 7NS,1302,29,Avalon Road
"4, Avalon Road, Earley",RG6 7NS,1453,4,Avalon Road
"6, Avalon Road, Earley",RG6 7NS,1141,6,Avalon Road
"23, Avalon Road, Earley",RG6 7NS,1206,23,Avalon Road
"25, Avalon Road, Earley",RG6 7NS,1109,25,Avalon Road
"26, Avalon Road, Earley",RG6 7NS,1033,26,Avalon Road
"9, Avalon Road, Earley",RG6 7NS,1206,9,Avalon Road
"17, Avalon Road, Earley",RG6 7NS,1195,17,Avalon Road
"14, Avalon Road, Earley",RG6 7NS,1442,14,Avalon Road
"2, Avalon Road, Earley",RG6 7NS,986,2,Avalon Road
"25 Sevenoaks Road, Earley",RG6 7NT,1173,25,Sevenoaks Road
"3 Sevenoaks Road, Earley",RG6 7NT,1281,3,Sevenoaks Road
"40 Sevenoaks Road, Earley",RG6 7NT,1453,40,Sevenoaks Road
"41 SEVENOAKS ROAD, EARLEY",RG6 7NT,980,41,SEVENOAKS ROAD
"19, Sevenoaks Road, Earley",RG6 7NT,1119,19,Sevenoaks Road
"36, Sevenoaks Road, Earley",RG6 7NT,1130,36,Sevenoaks Road
"24, Sevenoaks Road, Earley",RG6 7NT,1087,24,Sevenoaks Road
"15, Sevenoaks Road, Earley",RG6 7NT,1087,15,Sevenoaks Road
"17, Sevenoaks Road, Earley",RG6 7NT,1109,17,Sevenoaks Road
"11, Sevenoaks Road, Earley",RG6 7NT,1130,11,Sevenoaks Road
"9, Sevenoaks Road, Earley",RG6 7NT,893,9,Sevenoaks Road
"22, Sevenoaks Road, Earley",RG6 7NT,1335,22,Sevenoaks Road
"35, Sevenoaks Road, Earley",RG6 7NT,936,35,Sevenoaks Road
"28, Sevenoaks Road, Earley",RG6 7NT,915,28,Sevenoaks Road
"32, Sevenoaks Road, Earley",RG6 7NT,1421,32,Sevenoaks Road
"24, Sevenoaks Road, Earley",RG6 7NT,1066,24,Sevenoaks Road
"1, Sevenoaks Road, Earley",RG6 7NT,1195,1,Sevenoaks Road
"15, Sevenoaks Road, Earley",RG6 7NT,1098,15,Sevenoaks Road
"21, Sevenoaks Road, Earley",RG6 7NT,915,21,Sevenoaks Road
"43, Sevenoaks Road, Earley",RG6 7NT,1001,43,Sevenoaks Road
"25, Sevenoaks Road, Earley",RG6 7NT,915,25,Sevenoaks Road
"20, Sevenoaks Road, Earley",RG6 7NT,999,20,Sevenoaks Road
"280 Silverdale Road, Earley",RG6 7NU,1163,280,Silverdale Road
"276, Silverdale Road, Earley",RG6 7NU,915,276,Silverdale Road
"292, Silverdale Road, Earley",RG6 7NU,958,292,Silverdale Road
"288, Silverdale Road, Earley",RG6 7NU,2013,288,Silverdale Road
"268, Silverdale Road, Earley",RG6 7NU,1668,268,Silverdale Road
"282, Silverdale Road, Earley",RG6 7NU,1270,282,Silverdale Road
"282, Silverdale Road, Earley",RG6 7NU,1206,282,Silverdale Road
"278, Silverdale Road, Earley",RG6 7NU,915,278,Silverdale Road
"282, Silverdale Road, Earley",RG6 7NU,1012,282,Silverdale Road
"288, Silverdale Road, Earley",RG6 7NU,1152,288,Silverdale Road
"264, Silverdale Road, Earley",RG6 7NU,958,264,Silverdale Road
"268, Silverdale Road, Earley",RG6 7NU,1292,268,Silverdale Road
"33 The Crescent, Earley",RG6 7NW,1550,33,The Crescent
"31 The Crescent, Earley",RG6 7NW,1432,31,The Crescent
"31 The Crescent, Earley",RG6 7NW,1432,31,The Crescent
"47 THE CRESCENT, WOKINGHAM, READING",RG6 7NW,721,47,THE CRESCENT
"5, The Crescent, Earley",RG6 7NW,1787,5,The Crescent
"13, The Crescent, Earley",RG6 7NW,1496,13,The Crescent
"49, The Crescent, Earley",RG6 7NW,1109,49,The Crescent
"5, The Crescent, Earley",RG6 7NW,850,5,The Crescent
"5, The Crescent, Earley",RG6 7NW,786,5,The Crescent
"57, The Crescent, Earley",RG6 7NW,1098,57,The Crescent
"35, The Crescent, Earley",RG6 7NW,1098,35,The Crescent
"31, The Crescent, Earley",RG6 7NW,753,31,The Crescent
"21, The Crescent, Earley",RG6 7NW,1636,21,The Crescent
"45, The Crescent, Earley",RG6 7NW,635,45,The Crescent
"45, The Crescent, Earley",RG6 7NW,915,45,The Crescent
"9, The Crescent, Earley",RG6 7NW,926,9,The Crescent
"69 The Crescent, Earley",RG6 7NW,1238,69,The Crescent
"1, The Crescent, Earley",RG6 7NW,1981,1,The Crescent
"71, The Crescent, Earley",RG6 7NW,1119,71,The Crescent
"65, The Crescent, Earley",RG6 7NW,1001,65,The Crescent
"63, The Crescent, Earley",RG6 7NW,923,63,The Crescent
"59, The Crescent, Earley",RG6 7NW,616,59,The Crescent
"35, The Crescent, Earley",RG6 7NW,686,35,The Crescent
"203 Silverdale Road, Earley",RG6 7NY,1345,203,Silverdale Road
"197 Silverdale Road, Earley",RG6 7NY,893,197,Silverdale Road
"199 Silverdale Road, Earley",RG6 7NY,915,199,Silverdale Road
"199, Silverdale Road, Earley",RG6 7NY,947,199,Silverdale Road
"193, Silverdale Road, Earley",RG6 7NY,1356,193,Silverdale Road
"209, Silverdale Road, Earley",RG6 7NY,893,209,Silverdale Road
"195, Silverdale Road, Earley",RG6 7NY,1206,195,Silverdale Road
"197, Silverdale Road, Earley",RG6 7NY,980,197,Silverdale Road
"207, Silverdale Road, Earley",RG6 7NY,1033,207,Silverdale Road
"191, Silverdale Road, Earley",RG6 7NY,915,191,Silverdale Road
"205, Silverdale Road, Earley",RG6 7NY,1087,205,Silverdale Road
"199, Silverdale Road, Earley",RG6 7NY,1020,199,Silverdale Road
"11 The Parade, Silverdale Road, Earley",RG6 7NZ,743,11,The Parade
"8 The Parade, Silverdale Road, Earley",RG6 7NZ,807,8,The Parade
"19 The Parade, Silverdale Road",RG6 7NZ,818,19,The Parade
"9, The Parade, Silverdale Road",RG6 7NZ,797,9,The Parade
"12a The Parade, Silverdale Road, Earley",RG6 7NZ,861,12,a The Parade
"8, The Parade, Silverdale Road",RG6 7NZ,808,8,The Parade
"7, The Parade, Silverdale Road",RG6 7NZ,722,7,The Parade
"1 Lancaster Gardens, Earley",RG6 7PA,1227,1,Lancaster Gardens
"6, Lancaster Gardens, Earley",RG6 7PA,1216,6,Lancaster Gardens
"18, Lancaster Gardens, Earley",RG6 7PA,1012,18,Lancaster Gardens
"9, Lancaster Gardens, Earley",RG6 7PA,1615,9,Lancaster Gardens
"14, Lancaster Gardens, Earley",RG6 7PA,1173,14,Lancaster Gardens
"14, Lancaster Gardens, Earley",RG6 7PA,1066,14,Lancaster Gardens
"21, Lancaster Gardens, Earley",RG6 7PA,1152,21,Lancaster Gardens
"23, Lancaster Gardens, Earley",RG6 7PA,893,23,Lancaster Gardens
"15, Lancaster Gardens, Earley",RG6 7PA,1485,15,Lancaster Gardens
"8, Allendale Road, Earley",RG6 7PB,904,8,Allendale Road
"34, Allendale Road, Earley",RG6 7PB,990,34,Allendale Road
"36, Allendale Road, Earley",RG6 7PB,904,36,Allendale Road
"18, Allendale Road, Earley",RG6 7PB,1012,18,Allendale Road
"44, Allendale Road, Earley",RG6 7PB,1001,44,Allendale Road
"28, Allendale Road, Earley",RG6 7PB,1033,28,Allendale Road
"30, Allendale Road, Earley",RG6 7PB,915,30,Allendale Road
"16, Allendale Road, Earley",RG6 7PB,1055,16,Allendale Road
"12, Allendale Road, Earley",RG6 7PB,1240,12,Allendale Road
"46, Allendale Road, Earley",RG6 7PB,886,46,Allendale Road
"1 ALLENDALE ROAD, EARLEY",RG6 7PD,893,1,ALLENDALE ROAD
"13, Allendale Road, Earley",RG6 7PD,1722,13,Allendale Road
"9, Allendale Road, Earley",RG6 7PD,1119,9,Allendale Road
"15, Allendale Road, Earley",RG6 7PD,947,15,Allendale Road
"37, Allendale Road, Earley",RG6 7PD,1163,37,Allendale Road
"27, Allendale Road, Earley",RG6 7PD,1152,27,Allendale Road
"27, Allendale Road, Earley",RG6 7PD,1225,27,Allendale Road
"25, Allendale Road, Earley",RG6 7PD,865,25,Allendale Road
"11, Allendale Road, Earley",RG6 7PD,1031,11,Allendale Road
"38 Crawford Close, Earley",RG6 7PE,1755,38,Crawford Close
"38 Crawford Close, Earley",RG6 7PE,1690,38,Crawford Close
"26 CRAWFORD CLOSE, EARLEY",RG6 7PE,1001,26,CRAWFORD CLOSE
"25, Crawford Close, Earley",RG6 7PE,1367,25,Crawford Close
"33, Crawford Close, Earley",RG6 7PE,1701,33,Crawford Close
"3, Crawford Close, Earley",RG6 7PE,1195,3,Crawford Close
"5, Crawford Close, Earley",RG6 7PE,883,5,Crawford Close
"21, Crawford Close, Earley",RG6 7PE,1098,21,Crawford Close
"8, Crawford Close, Earley",RG6 7PE,1119,8,Crawford Close
"6, Crawford Close, Earley",RG6 7PE,904,6,Crawford Close
"36, Crawford Close, Earley",RG6 7PE,1356,36,Crawford Close
"38, Crawford Close, Earley",RG6 7PE,1087,38,Crawford Close
"24, Crawford Close, Earley",RG6 7PE,1044,24,Crawford Close
"34, Crawford Close, Earley",RG6 7PE,1292,34,Crawford Close
"10, Crawford Close, Earley",RG6 7PE,1119,10,Crawford Close
"9, Crawford Close, Earley",RG6 7PE,1223,9,Crawford Close
"55 Lakeside, Earley",RG6 7PG,1163,55,Lakeside
"5 LAKESIDE, EARLEY",RG6 7PG,861,5,LAKESIDE
"43 LAKESIDE, EARLEY",RG6 7PG,1550,43,LAKESIDE
"25 LAKESIDE, EARLEY",RG6 7PG,1399,25,LAKESIDE
"1, Lakeside, Earley",RG6 7PG,883,1,Lakeside
"39, Lakeside, Earley",RG6 7PG,1152,39,Lakeside
"19, Lakeside, Earley",RG6 7PG,990,19,Lakeside
"21, Lakeside, Earley",RG6 7PG,1163,21,Lakeside
"61, Lakeside, Earley",RG6 7PG,861,61,Lakeside
"65, Lakeside, Earley",RG6 7PG,1356,65,Lakeside
"53, Lakeside, Earley",RG6 7PG,1087,53,Lakeside
"49, Lakeside, Earley",RG6 7PG,1776,49,Lakeside
"59, Lakeside, Earley",RG6 7PG,947,59,Lakeside
"23, Lakeside, Earley",RG6 7PG,1679,23,Lakeside
"3, Lakeside, Earley",RG6 7PG,1023,3,Lakeside
"25, Lakeside, Earley",RG6 7PG,1410,25,Lakeside
"29, Lakeside, Earley",RG6 7PG,915,29,Lakeside
"49, Lakeside, Earley",RG6 7PG,1572,49,Lakeside
"37, Lakeside, Earley",RG6 7PG,1109,37,Lakeside
"57, Lakeside, Earley",RG6 7PG,1227,57,Lakeside
"23, Lakeside, Earley",RG6 7PG,904,23,Lakeside
"7, Lakeside, Earley",RG6 7PG,883,7,Lakeside
"69, Lakeside, Earley",RG6 7PG,1239,69,Lakeside
"9, Lakeside, Earley",RG6 7PG,922,9,Lakeside
"73, Lakeside, Earley",RG6 7PH,1259,73,Lakeside
"9 Andrews Road, Earley",RG6 7PJ,1152,9,Andrews Road
