unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,"linked_data_uri""08860560-9147-4237-A9D8-725FBA1CE458""",latitude,longitude,Floor Area
C8A3A575-DB2F-0425-E053-6C04A8C0947B,394000,2021-04-13,RG6 1AD,S,N,F,,2,SHEPHERDS HOUSE LANE,EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/C8A3A575-DB2F-0425-E053-6C04A8C0947B/current,51.457893,-0.932282,861.0
7972279E-032F-4ABF-B3AE-BBED434079BA,187250,2003-07-04,RG6 1AD,S,N,F,,6,SHEPHERDS HOUSE LANE,EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/7972279E-032F-4ABF-B3AE-BBED434079BA/current,51.457893,-0.932282,904.0
5464AA21-28AF-4504-A301-BFAAA2074CDE,145000,2000-12-18,RG6 1AD,S,N,F,,6,SHEPHERDS HOUSE LANE,EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/5464AA21-28AF-4504-A301-BFAAA2074CDE/current,51.457893,-0.932282,904.0
4FCA9112-A961-4C75-AB5F-528ACB9BC346,233000,2007-01-10,RG6 1AD,S,N,F,,8,SHEPHERDS HOUSE LANE,EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/4FCA9112-A961-4C75-AB5F-528ACB9BC346/current,51.457893,-0.932282,1042.0
AE4D86D3-CA7D-4619-E053-6C04A8C03CD0,365000,2020-07-10,RG6 1AD,S,N,F,,14,SHEPHERDS HOUSE LANE,EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/AE4D86D3-CA7D-4619-E053-6C04A8C03CD0/current,51.457893,-0.932282,959.0
ECF5F905-F829-4EE2-9C45-9B1869F10766,224950,2004-02-20,RG6 1AD,S,N,F,,14,SHEPHERDS HOUSE LANE,EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/ECF5F905-F829-4EE2-9C45-9B1869F10766/current,51.457893,-0.932282,959.0
C3209F32-3072-4632-B280-F04F5E0ECA64,121000,1999-09-24,RG6 1AD,S,N,F,,14,SHEPHERDS HOUSE LANE,EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/C3209F32-3072-4632-B280-F04F5E0ECA64/current,51.457893,-0.932282,959.0
63189087-A290-4354-BDA7-3E4F0A07D0A3,140000,2001-08-03,RG6 1AD,S,N,F,,16,SHEPHERDS HOUSE LANE,EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/63189087-A290-4354-BDA7-3E4F0A07D0A3/current,51.457893,-0.932282,1302.0
F89297A7-C028-4914-964D-B122DFBF1D42,92000,1997-11-14,RG6 1AD,S,N,F,,16,SHEPHERDS HOUSE LANE,EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/F89297A7-C028-4914-964D-B122DFBF1D42/current,51.457893,-0.932282,1302.0
DEC008D0-479A-4DDD-8BF7-C46BBB895F06,113000,1999-06-25,RG6 1AD,S,N,F,,38,SHEPHERDS HOUSE LANE,EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/DEC008D0-479A-4DDD-8BF7-C46BBB895F06/current,51.457893,-0.932282,1216.0
